# pfam_scan.pl,  run at Fri Feb 12 16:24:40 2016
#
# Copyright (c) 2009 Genome Research Ltd
# Freely distributed under the GNU 
# General Public License
#
# Authors: Jaina Mistry (jm14@sanger.ac.uk), John Tate (jt6@sanger.ac.uk), 
#          Rob Finn (rdf@sanger.ac.uk)
#
# This is free software; you can redistribute it and/or modify it under
# the terms of the GNU General Public License as published by the Free Software
# Foundation; either version 2 of the License, or (at your option) any later version.
# This program is distributed in the hope that it will be useful, but WITHOUT
# ANY WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS
# FOR A PARTICULAR PURPOSE. See the GNU General Public License for more
# details.
#
# You should have received a copy of the GNU General Public License along with
# this program. If not, see <http://www.gnu.org/licenses/>. 
# = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = =
#      query sequence file: /home/wonjunetai/Documents/KimLab/pulse/output/preprocess/G41726.MCF7.5.bam/p_seq_isoforms.fas
#        searching against: /usr/local/bin/hmmer3/data/Pfam-A.hmm, with cut off --cut_ga
#    resolve clan overlaps: on
#     predict active sites: off
# = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = =
#
# <seq id> <alignment start> <alignment end> <envelope start> <envelope end> <hmm acc> <hmm name> <type> <hmm start> <hmm end> <hmm length> <bit score> <E-value> <significance> <clan>

I."ENST00000498666";21_46323280_46323450-242=171=181        43     87     43     88 PF08725.6   Integrin_b_cyt    Domain     1    46    47     66.6   8.5e-19   1 No_clan  
I."ENST00000375999";1_15675538_15675645-108=108=108         18     85     18     85 PF00498.21  FHA               Family     1    68    68     59.6   2.4e-16   1 CL0357   
I."ENST00000225792";17_62500340_62500436-134=97=166        118    288    118    289 PF00270.24  DEAD              Domain     1   168   169    141.0   2.4e-41   1 CL0023   
I."ENST00000225792";17_62500340_62500436-134=97=166        361    435    359    436 PF00271.26  Helicase_C        Family     3    77    78     89.5   9.2e-26   1 CL0023   
I."ENST00000225792";17_62500340_62500436-134=97=166        498    532    498    532 PF08061.6   P68HR             Repeat     1    33    33     67.6   5.4e-19   1 No_clan  
I."ENST00000225792";17_62500340_62500436-134=97=166        551    583    551    583 PF08061.6   P68HR             Repeat     1    33    33     60.0   1.3e-16   1 No_clan  
E."ENST00000439288";6_111494641_111494728-145=88=501         9    189      1    198 PF07690.11  MFS_1             Family    50   230   352     48.9   3.7e-13   1 CL0015   
E."ENST00000545650";4_62383033_62383236-228=204=214         43    123     43    123 PF02140.13  Gal_Lectin        Family     1    80    80     84.3   5.1e-24   1 No_clan  
E."ENST00000545650";4_62383033_62383236-228=204=214        139    392    138    393 PF02191.11  OLF               Family     2   249   250    316.0   1.4e-94   1 No_clan  
E."ENST00000545650";4_62383033_62383236-228=204=214        496    552    495    553 PF02793.17  HRM               Family     2    65    66     24.6   1.8e-05   1 No_clan  
E."ENST00000545650";4_62383033_62383236-228=204=214        559    789    559    789 PF12003.3   DUF3497           Family     1   218   218    272.3   2.3e-81   1 No_clan  
E."ENST00000545650";4_62383033_62383236-228=204=214        815    861    814    861 PF01825.16  GPS               Family     2    44    44     56.0   3.1e-15   1 No_clan  
E."ENST00000545650";4_62383033_62383236-228=204=214        876   1119    874   1119 PF00002.19  7tm_2             Family     3   243   243    236.2   2.7e-70   1 CL0192   
E."ENST00000545650";4_62383033_62383236-228=204=214       1139   1204   1138   1208 PF02354.11  Latrophilin       Family     2    72   366     95.7   2.1e-27   1 No_clan  
E."ENST00000545650";4_62383033_62383236-228=204=214       1205   1469   1203   1469 PF02354.11  Latrophilin       Family   116   366   366    377.6  4.7e-113   1 No_clan  
E."ENST00000590409";19_56329270_56329602-1570=333=132       50    216     48    217 PF05729.7   NACHT             Domain     3   165   166     69.2     3e-19   1 CL0023   
I."ENST00000337334";14_51344670_51344797-119=128=103       142    323    141    341 PF12695.2   Abhydrolase_5     Domain     2   134   145     78.1   5.2e-22   1 CL0028   
I."ENST00000335450";2_158406674_158406904-168=231=231       26     96     26    100 PF01064.18  Activin_recp      Domain     1    79    83     44.8   1.4e-11   1 CL0117   
I."ENST00000335450";2_158406674_158406904-168=231=231      102    113    101    113 PF08515.7   TGF_beta_GS       Family    18    29    29     21.6   9.2e-05   1 No_clan  
I."ENST00000335450";2_158406674_158406904-168=231=231      117    400    115    402 PF00069.20  Pkinase           Domain     3   256   260    168.9   1.1e-49   1 CL0016   
I."ENST00000409680";2_158412605_158412844-231=240=231        5     46      1     50 PF01064.18  Activin_recp      Domain    34    79    83     24.6   2.8e-05   1 CL0117   
I."ENST00000409680";2_158412605_158412844-231=240=231      115    143    115    143 PF08515.7   TGF_beta_GS       Family     1    29    29     54.4   5.2e-15   1 No_clan  
I."ENST00000409680";2_158412605_158412844-231=240=231      147    430    145    432 PF00069.20  Pkinase           Domain     3   256   260    168.6   1.3e-49   1 CL0016   
E."ENST00000335450";2_158412605_158412844-231=240=231       26     96     26    100 PF01064.18  Activin_recp      Domain     1    79    83     44.8   1.4e-11   1 CL0117   
E."ENST00000335450";2_158412605_158412844-231=240=231      102    113    101    113 PF08515.7   TGF_beta_GS       Family    18    29    29     21.6   9.2e-05   1 No_clan  
E."ENST00000335450";2_158412605_158412844-231=240=231      117    400    115    402 PF00069.20  Pkinase           Domain     3   256   260    168.9   1.1e-49   1 CL0016   
I."ENST00000593998";19_8434103_8434216-118=114=96          185    399    184    400 PF00147.13  Fibrinogen_C      Domain     2   234   235    193.6   3.6e-57   1 CL0422   
I."ENST00000582678";17_61560390_61560534-224=145=99         31    140     31    145 PF01401.13  Peptidase_M2      Family     1   107   595    139.3   1.2e-40   1 CL0126   
E."ENST00000584529";17_61560390_61560534-224=145=99         31    451     31    459 PF01401.13  Peptidase_M2      Family     1   416   595    822.3  1.9e-247   1 CL0126   
I."ENST00000338718";16_67038696_67038776-141=81=154         32    460     27    467 PF00135.23  COesterase        Domain     5   424   535    432.5  2.3e-129   1 CL0028   
I."ENST00000452025";2_210874381_210874460-141=80=140         6    192      6    196 PF00834.14  Ribul_P_3_epim    Domain     1   189   201    208.0   7.5e-62   1 CL0036   
I."ENST00000452025";2_210874381_210874460-141=80=140       186    222    186    224 PF13900.1   GVQW              Domain     1    37    48     71.1   5.4e-20   1 CL0093   
E."ENST00000438204";2_210874381_210874460-141=80=140         6     42      6     66 PF00834.14  Ribul_P_3_epim    Domain     1    37   201     33.7   1.8e-08   1 CL0036   
I."ENST00000441588";2_210868162_210868192-141=31=140         6     42      6     45 PF00834.14  Ribul_P_3_epim    Domain     1    37   201     33.6   1.9e-08   1 CL0036   
E."ENST00000438204";2_210868162_210868192-141=31=140         6     42      6     66 PF00834.14  Ribul_P_3_epim    Domain     1    37   201     33.7   1.8e-08   1 CL0036   
E."ENST00000368246";1_156344398_156344520-225=123=187       26    417     25    420 PF00909.16  Ammonium_transp   Family     2   374   399    243.9   1.8e-72   1 No_clan  
E."ENST00000368246";1_156340973_156341045-225=73=187        26    417     25    420 PF00909.16  Ammonium_transp   Family     2   374   399    243.9   1.8e-72   1 No_clan  
E."ENST00000525632";16_69269651_69269736-186=86=214          2     57      1     58 PF00595.19  PDZ               Domain    26    80    81     51.6   7.7e-14   1 CL0466   
E."ENST00000430835";6_4115641_4115897-199=257=98             4    116      4    126 PF15023.1   DUF4523           Family     1   112   166    177.7   1.2e-52   1 No_clan  
I."ENST00000518004";17_36361697_36361804-201=108=122        49    437     49    437 PF01433.15  Peptidase_M1      Family     1   390   390    489.5  7.1e-147   1 CL0126   
I."ENST00000568579";16_24869941_24870099-208=159=72         78    417     70    417 PF00474.12  SSF               Family    91   406   406    346.4  1.7e-103   1 CL0062   
E."ENST00000410059";2_115807725_115807796-540=72=115       133    499    133    500 PF00930.16  DPPIV_N           Family     1   352   353    385.2  1.9e-115   1 CL0186   
E."ENST00000410059";2_115807725_115807796-540=72=115       581    783    580    784 PF00326.16  Peptidase_S9      Family     2   212   213    156.1     7e-46   1 CL0028   
E."ENST00000471755";8_22056777_22056900-181=124=83         129    320    128    321 PF01400.19  Astacin           Domain     2   190   191    248.0   4.2e-74   1 CL0126   
E."ENST00000471755";8_22056777_22056900-181=124=83         322    431    322    431 PF00431.15  CUB               Domain     1   110   110    119.5   6.4e-35   1 CL0164   
E."ENST00000471755";8_22056777_22056900-181=124=83         435    544    435    544 PF00431.15  CUB               Domain     1   110   110    139.2   4.9e-41   1 CL0164   
E."ENST00000471755";8_22056777_22056900-181=124=83         555    587    551    587 PF14670.1   FXa_inhibition    Domain     4    36    36     38.7   7.6e-10   1 CL0001   
E."ENST00000349806";2_113674706_113674825-124=120=143       37    136     25    142 PF00340.14  IL1               Domain    17   113   120     47.2   1.3e-12   1 CL0066   
E."ENST00000349806";2_113671369_113671431-124=63=143        37    136     25    142 PF00340.14  IL1               Domain    17   113   120     47.2   1.3e-12   1 CL0066   
I."ENST00000263326";2_113671369_113671431-124=63=120        98    197     83    203 PF00340.14  IL1               Domain    17   113   120     46.0     3e-12   1 CL0066   
E."ENST00000600619";19_58112096_58112147-250=52=130         14     54     14     54 PF01352.22  KRAB              Family     1    41    41     71.4   2.9e-20   1 No_clan  
E."ENST00000600619";19_58112096_58112147-250=52=130        239    261    239    261 PF00096.21  zf-C2H2           Domain     1    23    23     22.6   8.9e-05   1 CL0361   
E."ENST00000600619";19_58112096_58112147-250=52=130        281    305    281    306 PF13465.1   zf-H2C2_2         Domain     1    25    26     32.6   5.9e-08   1 CL0361   
E."ENST00000600619";19_58112096_58112147-250=52=130        311    334    309    334 PF13465.1   zf-H2C2_2         Domain     3    26    26     34.9   1.1e-08   1 CL0361   
E."ENST00000600619";19_58112096_58112147-250=52=130        337    362    337    362 PF13465.1   zf-H2C2_2         Domain     1    26    26     27.7     2e-06   1 CL0361   
E."ENST00000600619";19_58112096_58112147-250=52=130        365    389    365    390 PF13465.1   zf-H2C2_2         Domain     1    25    26     28.7   9.8e-07   1 CL0361   
E."ENST00000600619";19_58112096_58112147-250=52=130        397    417    393    418 PF13465.1   zf-H2C2_2         Domain     5    25    26     28.8   9.4e-07   1 CL0361   
E."ENST00000600619";19_58112096_58112147-250=52=130        423    445    421    446 PF13465.1   zf-H2C2_2         Domain     3    25    26     34.0     2e-08   1 CL0361   
E."ENST00000600619";19_58112096_58112147-250=52=130        450    473    449    474 PF13465.1   zf-H2C2_2         Domain     2    25    26     24.7   1.8e-05   1 CL0361   
E."ENST00000600619";19_58112096_58112147-250=52=130        478    500    477    502 PF13465.1   zf-H2C2_2         Domain     2    24    26     31.5   1.3e-07   1 CL0361   
E."ENST00000600619";19_58112096_58112147-250=52=130        505    529    505    530 PF13465.1   zf-H2C2_2         Domain     1    25    26     29.5   5.6e-07   1 CL0361   
E."ENST00000600619";19_58112096_58112147-250=52=130        533    558    533    558 PF13465.1   zf-H2C2_2         Domain     1    26    26     34.9   1.1e-08   1 CL0361   
E."ENST00000600619";19_58112096_58112147-250=52=130        562    585    561    586 PF13465.1   zf-H2C2_2         Domain     2    25    26     29.5   5.5e-07   1 CL0361   
I."ENST00000416223";11_2187863_2187998-70=136=51             1     76      1     76 PF00351.16  Biopterin_H       Domain   158   233   332    162.7   9.1e-48   1 No_clan  
I."ENST00000427363";18_77246248_77246937-133=690=50        428    588    428    588 PF00554.17  RHD               Domain     1   169   169     87.0   1.1e-24   1 CL0073   
I."ENST00000427363";18_77246248_77246937-133=690=50        601    693    596    693 PF01833.19  TIG               Domain     6    85    85     26.6   4.2e-06   1 CL0159   
E."ENST00000542384";18_77246248_77246937-133=690=50        428    588    428    588 PF00554.17  RHD               Domain     1   169   169     87.6     7e-25   1 CL0073   
E."ENST00000542384";18_77246248_77246937-133=690=50        601    693    596    693 PF01833.19  TIG               Domain     6    85    85     27.2   2.9e-06   1 CL0159   
I."ENST00000527647";9_72459433_72459541-205=109=119         28    150     28    154 PF15139.1   DUF4572           Family     1   125   202    152.5   1.2e-44   1 No_clan  
E."ENST00000458169";11_76905077_76905186-228=110=171       300    404    299    404 PF00784.12  MyTH4             Family     2   115   115    127.3   2.5e-37   1 No_clan  
E."ENST00000458169";11_76905077_76905186-228=110=171       413    499    413    503 PF09379.5   FERM_N            Domain     1    76    80     22.1   0.00011   1 CL0072   
E."ENST00000458169";11_76905077_76905186-228=110=171       903   1008    902   1008 PF00784.12  MyTH4             Family     2   115   115    120.0   4.7e-35   1 No_clan  
E."ENST00000458169";11_76905077_76905186-228=110=171      1125   1227   1117   1227 PF00373.13  FERM_M            Domain    13   126   126     54.0   1.8e-14   1 No_clan  
E."ENST00000400421";21_43506640_43506736-110=97=187         86    117     86    124 PF07645.10  EGF_CA            Domain     1    31    42     30.2   3.1e-07   1 CL0001   
E."ENST00000400421";21_43513981_43514134-141=154=255        86    117     86    124 PF07645.10  EGF_CA            Domain     1    31    42     30.2   3.1e-07   1 CL0001   
I."ENST00000400421";21_43508404_43508590-110=187=141        86    117     86    124 PF07645.10  EGF_CA            Domain     1    31    42     30.2   3.1e-07   1 CL0001   
I."ENST00000479176";3_180651122_180651174-66=53=94          59     90     59     98 PF05641.7   Agenet            Domain     1    31    68     25.6   9.5e-06   1 CL0049   
I."ENST00000529504";16_48120652_48120730-114=79=146         17     61      7     61 PF00005.22  ABC_tran          Domain    93   137   137     37.3   2.8e-09   1 CL0023   
I."ENST00000448542";16_48151172_48151244-204=73=125        109    257    109    257 PF00005.22  ABC_tran          Domain     1   137   137    101.5   4.4e-29   1 CL0023   
E."ENST00000416054";16_48151172_48151244-204=73=125        109    257    109    257 PF00005.22  ABC_tran          Domain     1   137   137    101.5   4.4e-29   1 CL0023   
I."ENST00000448542";16_48120652_48120730-114=79=160        109    257    109    257 PF00005.22  ABC_tran          Domain     1   137   137    101.5   4.4e-29   1 CL0023   
I."ENST00000510241";5_139940224_139940339-192=116=84        68    193     68    194 PF00640.18  PID               Domain     1   139   140     83.7   1.1e-23   1 CL0266   
I."ENST00000510756";5_96064857_96064913-42=57=114          189    274    136    285 PF00748.14  Calpain_inhib     Family    33   120   133     44.9   1.3e-11   1 No_clan  
I."ENST00000510756";5_96064857_96064913-42=57=114          293    419    293    420 PF00748.14  Calpain_inhib     Family     1   132   133    141.8   1.5e-41   1 No_clan  
I."ENST00000510756";5_96064857_96064913-42=57=114          430    561    430    562 PF00748.14  Calpain_inhib     Family     1   132   133    157.2   2.7e-46   1 No_clan  
I."ENST00000510756";5_96064857_96064913-42=57=114          573    698    573    700 PF00748.14  Calpain_inhib     Family     1   132   133    147.0   3.7e-43   1 No_clan  
I."ENST00000421689";5_96062498_96062563-60=66=42           192    277    135    289 PF00748.14  Calpain_inhib     Family    33   120   133     45.8   7.1e-12   1 No_clan  
E."ENST00000430553";11_18420345_18420535-150=191=118        21     79     21     81 PF00056.18  Ldh_1_N           Family     1    60   141     54.6   9.3e-15   1 CL0063   
E."ENST00000430553";11_18420345_18420535-150=191=118       106    266    105    273 PF02866.13  Ldh_1_C           Domain     2   164   174    116.2   1.2e-33   1 CL0341   
I."ENST00000452174";2_182412549_182412574-109=26=60         11     55      2     60 PF00781.19  DAGK_cat          Family    80   125   130     25.0   9.6e-06   1 CL0240   
E."ENST00000315711";3_112054790_112054864-69=75=82          47    121     45    123 PF00047.20  ig                Domain     4    62    64     44.3   1.4e-11   1 CL0011   
E."ENST00000315711";3_112054790_112054864-69=75=82         154    216    153    223 PF00047.20  ig                Domain     2    64    64     26.6   4.7e-06   1 CL0011   
I."ENST00000357822";2_74531616_74531807-130=192=81         141    408    141    408 PF07565.8   Band_3_cyto       Domain     1   257   257    333.3  9.8e-100   1 CL0340   
I."ENST00000357822";2_74531616_74531807-130=192=81         487   1023    487   1023 PF00955.16  HCO3_cotransp     Family     1   510   510    796.7  8.2e-240   1 CL0062   
I."ENST00000568923";16_23383097_23383204-164=108=118        29    514     29    517 PF00858.19  ASC               Family     1   436   439    353.3  1.5e-105   1 No_clan  
E."ENST00000361310";10_31146609_31146707-1837=99=68        521    545    521    546 PF13465.1   zf-H2C2_2         Domain     1    25    26     21.3   0.00022   1 CL0361   
I."ENST00000395728";6_31856746_31856847-149=102=115        713    798    711    805 PF12796.2   Ank_2             Family     3    82    89     62.0   4.9e-17   1 CL0465   
I."ENST00000395728";6_31856746_31856847-149=102=115        808    872    799    872 PF12796.2   Ank_2             Family    26    89    89     62.0   4.8e-17   1 CL0465   
I."ENST00000395728";6_31856746_31856847-149=102=115        876    938    871    938 PF12796.2   Ank_2             Family    28    89    89     45.3   8.2e-12   1 CL0465   
I."ENST00000395728";6_31856746_31856847-149=102=115        982   1087    982   1087 PF05033.11  Pre-SET            Motif     1   103   103     63.7   1.5e-17   1 No_clan  
I."ENST00000395728";6_31856746_31856847-149=102=115       1106   1212   1106   1212 PF00856.23  SET               Family     1   162   162     96.6   1.7e-27   1 No_clan  
I."ENST00000451172";3_158970516_158970596-65=81=136          1     97      1     97 PF15157.1   IQ-like           Family     1    97    97    191.8   1.4e-57   1 No_clan  
I."ENST00000155093";Y_2821950_2822038-293=89=573            71    406     70    406 PF04704.8   Zfx_Zfy_act       Family     2   330   330    543.9  9.8e-164   1 No_clan  
I."ENST00000155093";Y_2821950_2822038-293=89=573           421    443    421    443 PF00096.21  zf-C2H2           Domain     1    23    23     23.1   5.8e-05   1 CL0361   
I."ENST00000155093";Y_2821950_2822038-293=89=573           452    474    452    475 PF13909.1   zf-H2C2_5         Domain     1    22    24     17.2    0.0042   1 CL0361   
I."ENST00000155093";Y_2821950_2822038-293=89=573           485    506    484    506 PF00096.21  zf-C2H2           Domain     2    23    23     17.0    0.0052   1 CL0361   
I."ENST00000155093";Y_2821950_2822038-293=89=573           515    538    515    539 PF13909.1   zf-H2C2_5         Domain     1    23    24     17.0    0.0047   1 CL0361   
I."ENST00000155093";Y_2821950_2822038-293=89=573           559    580    558    582 PF13465.1   zf-H2C2_2         Domain     2    23    26     35.0   9.8e-09   1 CL0361   
I."ENST00000155093";Y_2821950_2822038-293=89=573           586    611    586    612 PF13465.1   zf-H2C2_2         Domain     1    25    26     24.1   2.8e-05   1 CL0361   
I."ENST00000155093";Y_2821950_2822038-293=89=573           629    652    629    652 PF13894.1   zf-C2H2_4         Domain     1    24    24     13.1     0.091   1 CL0361   
I."ENST00000155093";Y_2821950_2822038-293=89=573           658    680    658    680 PF00096.21  zf-C2H2           Domain     1    23    23     16.9    0.0058   1 CL0361   
I."ENST00000155093";Y_2821950_2822038-293=89=573           686    710    686    710 PF13909.1   zf-H2C2_5         Domain     1    24    24     14.5     0.029   1 CL0361   
I."ENST00000155093";Y_2821950_2822038-293=89=573           730    753    729    754 PF13465.1   zf-H2C2_2         Domain     2    25    26     25.3   1.2e-05   1 CL0361   
I."ENST00000155093";Y_2821950_2822038-293=89=573           772    794    772    795 PF00096.21  zf-C2H2           Domain     1    23    23     15.6     0.015   1 CL0361   
I."ENST00000321935";1_159772210_159772245-102=36=21         29     96     26    112 PF13895.1   Ig_2              Domain     4    68    80     35.2   9.5e-09   1 CL0011   
I."ENST00000321935";1_159772210_159772245-102=36=21        119    206    118    207 PF13895.1   Ig_2              Domain     2    79    80     34.0   2.4e-08   1 CL0011   
I."ENST00000321935";1_159772210_159772245-102=36=21        213    287    213    287 PF13927.1   Ig_3              Domain     1    75    75     36.4   5.5e-09   1 CL0011   
I."ENST00000333194";5_76607819_76607878-339=60=191           1     52      1     52 PF08629.5   PDE8              Family     1    52    52    125.2     6e-37   1 No_clan  
I."ENST00000333194";5_76607819_76607878-339=60=191         135    251    134    252 PF00072.19  Response_reg      Domain     1   111   112     49.3   4.1e-13   1 CL0304   
I."ENST00000333194";5_76607819_76607878-339=60=191         280    375    279    379 PF13426.1   PAS_9             Domain     2    96   104     57.2   1.7e-15   1 CL0183   
I."ENST00000333194";5_76607819_76607878-339=60=191         559    799    559    810 PF00233.14  PDEase_I          Domain     1   224   237    209.5   5.6e-62   1 CL0237   
I."ENST00000397746";21_47558794_47558837-139=44=162          3    180      3    180 PF07837.7   FTCD_N            Domain     1   178   178    243.1   1.2e-72   1 No_clan  
I."ENST00000397746";21_47558794_47558837-139=44=162        181    325    181    325 PF02971.9   FTCD              Domain     1   145   145    279.5   3.9e-84   1 No_clan  
I."ENST00000397746";21_47558794_47558837-139=44=162        339    521    338    522 PF04961.7   FTCD_C            Family     2   184   185    206.8   1.8e-61   1 No_clan  
I."ENST00000534203";2_228207461_228207535-89=75=85           1     71      1     71 PF05644.6   Miff              Family   132   203   246     43.0     4e-11   1 No_clan  
E."ENST00000524634";2_228207461_228207535-89=75=85          20     89     18     89 PF05644.6   Miff              Family   177   246   246    124.9   3.8e-36   1 No_clan  
I."ENST00000230418";6_43107144_43107263-136=120=150         33    114     32    119 PF07679.11  I-set             Domain     2    85    90     25.2   1.1e-05   1 CL0011   
I."ENST00000230418";6_43107144_43107263-136=120=150        137    217    128    219 PF13895.1   Ig_2              Domain     8    78    80     46.8   2.3e-12   1 CL0011   
I."ENST00000230418";6_43107144_43107263-136=120=150        229    302    225    308 PF07679.11  I-set             Domain     5    74    90     29.7   4.3e-07   1 CL0011   
I."ENST00000230418";6_43107144_43107263-136=120=150        347    408    327    408 PF07679.11  I-set             Domain    25    90    90     33.7   2.3e-08   1 CL0011   
I."ENST00000230418";6_43107144_43107263-136=120=150        415    498    412    498 PF07679.11  I-set             Domain     4    90    90     45.8     4e-12   1 CL0011   
I."ENST00000230418";6_43107144_43107263-136=120=150        503    588    502    588 PF07679.11  I-set             Domain     2    90    90     40.4   1.9e-10   1 CL0011   
I."ENST00000230418";6_43107144_43107263-136=120=150        593    679    592    681 PF07679.11  I-set             Domain     2    88    90     49.7   2.3e-13   1 CL0011   
I."ENST00000514249";4_81341368_81341477-131=110=91          11     76      9     86 PF14713.1   DUF4464           Family     3    68   233     72.3   3.7e-20   1 No_clan  
E."ENST00000512931";4_81341368_81341477-131=110=91          11    112      9    115 PF14713.1   DUF4464           Family     3   104   233     95.9   2.3e-27   1 No_clan  
E."ENST00000512931";4_81341368_81341477-131=110=91         112    150    110    152 PF13900.1   GVQW              Domain     4    42    48     89.1   1.3e-25   1 CL0093   
I."ENST00000369358";10_115402693_115402797-108=105=117       6     57      6     61 PF00412.17  LIM               Domain     1    53    58     35.0   1.1e-08   1 No_clan  
I."ENST00000369358";10_115402693_115402797-108=105=117     175    199    174    202 PF00880.13  Nebulin           Repeat     2    26    29     23.1   3.7e-05   1 No_clan  
I."ENST00000369358";10_115402693_115402797-108=105=117     209    237    209    237 PF00880.13  Nebulin           Repeat     1    29    29     27.9   1.1e-06   1 No_clan  
I."ENST00000369358";10_115402693_115402797-108=105=117     316    343    315    343 PF00880.13  Nebulin           Repeat     2    29    29     32.0   5.5e-08   1 No_clan  
I."ENST00000369358";10_115402693_115402797-108=105=117     493    520    493    520 PF00880.13  Nebulin           Repeat     1    28    29     36.7   1.7e-09   1 No_clan  
I."ENST00000369358";10_115402693_115402797-108=105=117     529    556    528    556 PF00880.13  Nebulin           Repeat     2    29    29     36.9   1.5e-09   1 No_clan  
I."ENST00000369358";10_115402693_115402797-108=105=117     740    767    740    768 PF00880.13  Nebulin           Repeat     1    28    29     21.2   0.00014   1 No_clan  
I."ENST00000369358";10_115402693_115402797-108=105=117     775    803    775    803 PF00880.13  Nebulin           Repeat     1    29    29     26.7   2.5e-06   1 No_clan  
I."ENST00000369358";10_115402693_115402797-108=105=117     812    839    811    839 PF00880.13  Nebulin           Repeat     2    29    29     23.2   3.4e-05   1 No_clan  
I."ENST00000369358";10_115402693_115402797-108=105=117     852    877    850    877 PF00880.13  Nebulin           Repeat     4    29    29     21.9   8.6e-05   1 No_clan  
I."ENST00000369358";10_115402693_115402797-108=105=117     983   1011    983   1011 PF00880.13  Nebulin           Repeat     1    29    29     24.4   1.4e-05   1 No_clan  
I."ENST00000369358";10_115402693_115402797-108=105=117    1054   1082   1054   1082 PF00880.13  Nebulin           Repeat     1    29    29     32.0   5.4e-08   1 No_clan  
I."ENST00000369358";10_115402693_115402797-108=105=117    1092   1120   1092   1120 PF00880.13  Nebulin           Repeat     1    29    29     21.5   0.00012   1 No_clan  
I."ENST00000369358";10_115402693_115402797-108=105=117    1226   1253   1226   1254 PF00880.13  Nebulin           Repeat     1    28    29     23.9   1.9e-05   1 No_clan  
I."ENST00000369358";10_115402693_115402797-108=105=117    1263   1288   1262   1289 PF00880.13  Nebulin           Repeat     3    28    29     21.6   0.00011   1 No_clan  
I."ENST00000369358";10_115402693_115402797-108=105=117    1370   1396   1370   1398 PF00880.13  Nebulin           Repeat     1    27    29     20.2    0.0003   1 No_clan  
I."ENST00000369358";10_115402693_115402797-108=105=117    1504   1532   1504   1532 PF00880.13  Nebulin           Repeat     1    29    29     22.5   5.4e-05   1 No_clan  
I."ENST00000369358";10_115402693_115402797-108=105=117    1578   1605   1578   1606 PF00880.13  Nebulin           Repeat     1    28    29     22.8   4.6e-05   1 No_clan  
I."ENST00000369358";10_115402693_115402797-108=105=117    1648   1672   1645   1672 PF00880.13  Nebulin           Repeat     5    29    29     22.6   5.2e-05   1 No_clan  
E."ENST00000498578";7_150725888_150725998-149=111=313      134    406    128    408 PF00664.18  ABC_membrane      Family     4   273   275    150.9   4.3e-44   1 CL0241   
E."ENST00000498578";7_150725888_150725998-149=111=313      473    623    473    623 PF00005.22  ABC_tran          Domain     1   137   137    109.9   1.1e-31   1 CL0023   
I."ENST00000377436";1_9009322_9009501-79=180=149            23    278     23    278 PF00194.16  Carb_anhydrase    Domain     1   256   256    329.0   1.3e-98   1 No_clan  
I."ENST00000374704";10_35772332_35772406-334=75=35         152    265    143    265 PF00134.18  Cyclin_N          Domain    10   127   127     52.2   4.1e-14   1 CL0065   
I."ENST00000343118";21_41031680_41031839-117=160=2329       72    260     71    261 PF01762.16  Galactosyl_T      Family     2   194   195    199.0   5.6e-59   1 CL0110   
I."ENST00000406881";X_91518113_91518142-81=30=199           27    112     24    115 PF08266.7   Cadherin_2        Domain     4    80    84     32.2   5.5e-08   1 CL0159   
I."ENST00000406881";X_91518113_91518142-81=30=199          145    240    144    240 PF00028.12  Cadherin          Family     2    93    93     42.6   5.3e-11   1 CL0159   
I."ENST00000406881";X_91518113_91518142-81=30=199          255    346    254    346 PF00028.12  Cadherin          Family     2    91    93     66.0   2.7e-18   1 CL0159   
I."ENST00000406881";X_91518113_91518142-81=30=199          368    456    366    457 PF00028.12  Cadherin          Family     3    92    93     39.4   5.2e-10   1 CL0159   
I."ENST00000406881";X_91518113_91518142-81=30=199          472    560    471    561 PF00028.12  Cadherin          Family     2    92    93     67.5   8.7e-19   1 CL0159   
I."ENST00000406881";X_91518113_91518142-81=30=199          575    663    575    664 PF00028.12  Cadherin          Family     1    92    93     70.6   9.5e-20   1 CL0159   
I."ENST00000406881";X_91518113_91518142-81=30=199          686    770    682    773 PF00028.12  Cadherin          Family     5    90    93     47.3   1.8e-12   1 CL0159   
I."ENST00000406881";X_91518113_91518142-81=30=199          775    997    775   1001 PF08374.6   Protocadherin     Family     1   218   221    278.5   3.6e-83   1 No_clan  
I."ENST00000518137";17_78395628_78395762-172=135=40         45    242     22    243 PF04493.9   Endonuclease_5    Family    21   205   206    199.2   4.7e-59   1 CL0189   
E."ENST00000456846";6_42039085_42039206-143=122=140         33    106     29    106 PF07524.8   Bromo_TP          Domain     4    77    77    102.1   9.5e-30   1 CL0012   
E."ENST00000456846";6_42039085_42039206-143=122=140        144    194    144    194 PF10406.4   TAF8_C            Domain     1    51    51     85.1   2.3e-24   1 No_clan  
E."ENST00000439210";12_58088489_58088709-181=221=64         55    122     53    122 PF07915.8   PRKCSH            Family     7    81    81     54.5   1.5e-14   1 CL0226   
I."ENST00000346541";20_32161780_32162067-310=288=144       114    207    113    208 PF07531.9   TAFH              Family     2    96    97    114.9   9.1e-34   1 No_clan  
