index,transcript,protein,probability
650,ENST00000550983,F8W1W9,0.6831
651,ENST00000551492,Q9QZQ0,0.6832
652,ENST00000432264,Q8N2I2,0.6832
653,ENST00000314686,Q8N2I2,0.6832
654,ENST00000368925,Q99489,0.6833
655,ENST00000504366,Q5R4R2,0.6834
656,ENST00000467609,Q5R7E4,0.6835
657,ENST00000304527,Q5HYK7,0.6835
658,ENST00000537058,Q8R5M8,0.6836
659,ENST00000295718,Q16849,0.6837
660,ENST00000339859,Q70EL1,0.6837
661,ENST00000341618,P57077,0.6838
662,ENST00000428547,Q70EL1,0.6839
663,ENST00000497531,Q92609,0.684
664,ENST00000472229,Q9Y676,0.6841
665,ENST00000552376,Q9D864,0.6841
666,ENST00000417458,Q9H579,0.6841
667,ENST00000379245,P97578,0.6842
668,ENST00000450534,Q93075,0.6842
669,ENST00000305762,Q923T9,0.6842
670,ENST00000217333,Q9H579,0.6842
671,ENST00000439473,Q6ZN68,0.6842
672,ENST00000301295,Q96MN2,0.6843
673,ENST00000554961,P60901,0.6843
674,ENST00000473839,Q4V339,0.6844
675,ENST00000354106,Q9BX66,0.6844
676,ENST00000569765,Q9H910,0.6844
677,ENST00000431318,Q5VTH9,0.6845
678,ENST00000376478,Q58CX6,0.6845
679,ENST00000378258,Q5R6Z9,0.6846
680,ENST00000334697,Q9BZP3,0.6847
681,ENST00000336604,Q0D2I5,0.6847
682,ENST00000572272,Q9C000,0.6849
683,ENST00000545377,Q8N1W1,0.6849
684,ENST00000284322,Q7Z7G0,0.6849
685,ENST00000368622,Q86UX6,0.6849
686,ENST00000432498,A8K8P3,0.6851
687,ENST00000466956,Q9NUT2,0.6851
688,ENST00000470549,Q8IUR7,0.6852
689,ENST00000529581,Q9HCH5,0.6852
690,ENST00000397909,Q8IVL0,0.6853
691,ENST00000429174,O75923,0.6853
692,ENST00000432602,Q8NA31,0.6854
693,ENST00000450269,C9JJ37,0.6854
694,ENST00000359726,Q95241,0.6855
695,ENST00000543427,P20823,0.6855
696,ENST00000518642,Q86X45,0.6856
697,ENST00000372443,Q62976,0.6857
698,ENST00000477182,O35900,0.6858
699,ENST00000436318,Q8N387,0.6859
700,ENST00000336832,Q96AQ7,0.6861
701,ENST00000509664,Q5RD48,0.6863
702,ENST00000418261,Q6E0U4,0.6863
703,ENST00000368374,Q5R8E3,0.6864
704,ENST00000262518,Q6ZRS2,0.6865
705,ENST00000502330,Q9BQ16,0.6866
706,ENST00000421643,Q9H579,0.6866
707,ENST00000367960,P31994,0.6867
708,ENST00000346541,O43439,0.6867
709,ENST00000383766,Q5RBD3,0.6867
710,ENST00000358212,Q99104,0.6867
711,ENST00000449943,Q9DBY1,0.6868
712,ENST00000435032,Q8WWT9,0.6868
713,ENST00000428599,O60716,0.6869
714,ENST00000395895,Q03060,0.6869
715,ENST00000395473,O00182,0.687
716,ENST00000467609,Q5R7E4,0.6871
717,ENST00000521053,Q6ZUA9,0.6872
718,ENST00000373993,Q9NQ94,0.6872
719,ENST00000523303,Q9NV88,0.6873
720,ENST00000368918,Q8TAK5,0.6873
721,ENST00000265720,O95620,0.6874
722,ENST00000454936,Q969S8,0.6874
723,ENST00000424985,Q8N5Q1,0.6875
724,ENST00000437259,B8PYG1,0.6875
725,ENST00000379550,Q15723,0.6876
726,ENST00000460276,O75376,0.6876
727,ENST00000540029,P16452,0.6877
728,ENST00000402931,Q9H0E9,0.6878
729,ENST00000322635,P11730,0.6879
730,ENST00000507071,Q812E0,0.6879
731,ENST00000397180,Q15493,0.688
732,ENST00000414585,A8K8P3,0.688
733,ENST00000311875,Q8WWU5,0.6882
734,ENST00000531177,Q9HBB8,0.6884
735,ENST00000542487,Q5R5C5,0.6885
736,ENST00000543225,Q8CH18,0.6886
737,ENST00000306312,Q9EPH0,0.6888
738,ENST00000380340,Q5RDM3,0.6888
739,ENST00000472688,Q6ZT98,0.6888
740,ENST00000491297,Q5VTH9,0.6891
741,ENST00000513237,Q6N021,0.6891
742,ENST00000471616,Q5R5V8,0.6893
743,ENST00000442529,Q9HAZ2,0.6893
744,ENST00000346956,P07202,0.6894
745,ENST00000510741,Q9BQ16,0.6894
746,ENST00000298428,Q8AY36,0.6894
747,ENST00000484601,Q5RA89,0.6895
748,ENST00000357472,Q9JKP5,0.6895
749,ENST00000584516,Q96JP2,0.6896
750,ENST00000489170,Q8WY98,0.6896
751,ENST00000472422,O15374,0.6897
752,ENST00000449691,P16070,0.69
753,ENST00000287507,Q00972,0.69
754,ENST00000383233,Q24JQ0,0.6901
755,ENST00000380340,Q8WW43,0.6901
756,ENST00000417697,Q8N2B8,0.6901
757,ENST00000579184,P0C7W0,0.6902
758,ENST00000397957,P13596,0.6903
759,ENST00000287196,Q5RDU4,0.6905
760,ENST00000440994,Q8N878,0.6905
761,ENST00000379655,Q9BVG8,0.6905
762,ENST00000472688,Q6ZT98,0.6907
763,ENST00000565918,Q5R875,0.691
764,ENST00000459818,Q13183,0.691
765,ENST00000377853,Q02548,0.691
766,ENST00000394045,Q9NRZ9,0.691
767,ENST00000339876,O94856,0.6911
768,ENST00000426183,P26436,0.6911
769,ENST00000372765,P11730,0.6911
770,ENST00000377551,P58401,0.6912
771,ENST00000436936,Q86WI3,0.6913
772,ENST00000563189,Q1X8D7,0.6913
773,ENST00000567974,Q5RDU4,0.6914
774,ENST00000569071,Q8WWX8,0.6914
775,ENST00000484480,P61600,0.6915
776,ENST00000359865,Q9Y4B5,0.6915
777,ENST00000426523,Q96P48,0.6916
778,ENST00000425431,P26436,0.6917
779,ENST00000359972,O14727,0.6918
780,ENST00000360608,Q2XNC8,0.6918
781,ENST00000356100,Q99M80,0.6919
782,ENST00000399591,Q01815,0.6919
783,ENST00000528746,Q5RAX9,0.692
784,ENST00000495115,Q9HB55,0.6921
785,ENST00000398802,Q8N413,0.6921
786,ENST00000441588,Q96AT9,0.6922
787,ENST00000377850,O00624,0.6922
788,ENST00000376898,Q63345,0.6922
789,ENST00000361796,O60716,0.6922
790,ENST00000473149,Q502W6,0.6923
791,ENST00000518341,Q7M317,0.6923
792,ENST00000261173,P23220,0.6924
793,ENST00000310638,Q02928,0.6924
794,ENST00000466323,P22304,0.6925
795,ENST00000280245,Q8IWF9,0.6925
796,ENST00000393727,Q9EPH0,0.6926
797,ENST00000378398,Q9HAZ2,0.6926
798,ENST00000513898,P78312,0.6926
799,ENST00000537142,Q13105,0.6926
800,ENST00000389394,Q9C0G6,0.6927
801,ENST00000530748,O60716,0.6927
802,ENST00000375618,Q6PI97,0.6927
803,ENST00000377307,P59281,0.6929
804,ENST00000534813,P62919,0.6929
805,ENST00000360524,A2RUR9,0.6929
806,ENST00000221327,Q9UJW8,0.6931
807,ENST00000277549,O55017,0.6932
808,ENST00000374503,Q9QYL8,0.6933
809,ENST00000492948,Q9JKP5,0.6933
810,ENST00000439682,H3BUK9,0.6934
811,ENST00000315987,Q9UK17,0.6934
812,ENST00000397611,Q64487,0.6935
813,ENST00000483211,Q6QHF9,0.6935
814,ENST00000357089,Q5T124,0.6936
815,ENST00000393774,Q0VAA2,0.6936
816,ENST00000438489,Q149M9,0.6936
817,ENST00000415183,Q2TAK8,0.6936
818,ENST00000409241,Q9H4I0,0.6937
819,ENST00000357033,Q5GN48,0.6937
820,ENST00000377840,Q02650,0.6937
821,ENST00000398802,Q8N413,0.6937
822,ENST00000440760,Q8BVL3,0.6938
823,ENST00000285871,Q8IYE0,0.6938
824,ENST00000508448,Q9Z142,0.6939
825,ENST00000354566,Q9HCH5,0.6939
826,ENST00000579281,Q13183,0.6939
827,ENST00000538354,O75386,0.694
828,ENST00000519951,Q6S8J7,0.6941
829,ENST00000425431,P26436,0.6941
830,ENST00000452231,O43521,0.6941
831,ENST00000333572,A2RRH5,0.6942
832,ENST00000477901,Q8NEA6,0.6942
833,ENST00000545100,A5D8V7,0.6943
834,ENST00000506582,Q96CM8,0.6943
835,ENST00000553231,Q5R5F2,0.6944
836,ENST00000425816,Q2M3M2,0.6944
837,ENST00000367095,Q13007,0.6945
838,ENST00000511363,Q3UD82,0.6945
839,ENST00000563786,A5A6K3,0.6945
840,ENST00000262795,Q9BYB0,0.6945
841,ENST00000514178,P53610,0.6946
842,ENST00000304834,Q9UK76,0.6946
843,ENST00000397532,Q9UM01,0.6946
844,ENST00000483898,Q9H6P5,0.6946
845,ENST00000374075,Q7Z591,0.6946
846,ENST00000281412,Q7Z5J8,0.6946
847,ENST00000293062,Q8TDF6,0.6947
848,ENST00000510824,Q5RD48,0.6947
849,ENST00000398101,Q99685,0.6949
850,ENST00000400441,Q9H579,0.6949
851,ENST00000343811,Q9H579,0.695
852,ENST00000439453,Q9NQG7,0.695
853,ENST00000343939,Q9UJX0,0.6951
854,ENST00000409080,Q61739,0.6951
855,ENST00000374794,Q8TEW0,0.6951
856,ENST00000518005,Q6NT32,0.6952
857,ENST00000297325,Q95LV7,0.6952
858,ENST00000587552,P36776,0.6952
859,ENST00000433722,Q6IMN6,0.6953
860,ENST00000478103,Q8N1F1,0.6953
861,ENST00000414043,O94983,0.6954
862,ENST00000255013,Q9H310,0.6955
863,ENST00000346315,Q6J6J0,0.6955
864,ENST00000357382,Q9NUW8,0.6956
865,ENST00000346315,Q9GKK8,0.6956
866,ENST00000287727,O95405,0.6956
867,ENST00000380230,Q495B1,0.6957
868,ENST00000448542,Q96J65,0.6957
869,ENST00000378239,Q5R8S4,0.6958
870,ENST00000367949,Q7L513,0.6958
871,ENST00000276373,P54219,0.6959
872,ENST00000471181,Q9GKK8,0.696
873,ENST00000402142,Q9P0X4,0.696
874,ENST00000456144,Q8IVF5,0.696
875,ENST00000480001,P10826,0.6961
876,ENST00000481285,Q496Y0,0.6962
877,ENST00000263326,Q9NZH6,0.6963
878,ENST00000369781,O15374,0.6963
879,ENST00000396239,Q9JLT0,0.6963
880,ENST00000491559,Q5DID0,0.6964
881,ENST00000286122,Q8N9N5,0.6964
882,ENST00000399617,Q13936,0.6966
883,ENST00000359205,Q9H869,0.6967
884,ENST00000440779,Q8N0X2,0.6967
885,ENST00000429130,Q03060,0.6968
886,ENST00000378896,Q9UJA3,0.6968
887,ENST00000276826,Q9C0H5,0.6968
888,ENST00000554228,Q5R581,0.6969
889,ENST00000491009,Q8N1F1,0.6969
890,ENST00000537900,Q8NB66,0.6969
891,ENST00000537900,Q8NB66,0.6969
892,ENST00000558509,Q5R678,0.6969
893,ENST00000319327,A6NH21,0.697
894,ENST00000361719,Q13255,0.697
895,ENST00000473688,Q24JQ0,0.697
896,ENST00000370460,P51816,0.6971
897,ENST00000398225,O76083,0.6972
898,ENST00000335393,Q86XR2,0.6972
899,ENST00000523206,Q80V86,0.6972
900,ENST00000407977,Q68DV7,0.6973
901,ENST00000521053,Q6ZUA9,0.6973
902,ENST00000359247,Q2V2M9,0.6974
903,ENST00000477756,Q99102,0.6975
904,ENST00000507756,P63245,0.6976
905,ENST00000380887,O95718,0.6976
906,ENST00000549128,Q8WUD6,0.6976
907,ENST00000545754,Q5ZKW9,0.6978
908,ENST00000565805,Q6P1K2,0.6979
909,ENST00000479070,Q03060,0.698
910,ENST00000222382,Q9HB55,0.6981
911,ENST00000442725,Q6PCB7,0.6981
912,ENST00000525266,Q5RBX0,0.6982
913,ENST00000409346,Q568Z1,0.6982
914,ENST00000508648,Q659C4,0.6982
915,ENST00000523485,Q9UQ07,0.6983
916,ENST00000263326,Q9NZH6,0.6983
917,ENST00000427316,Q6UXI9,0.6983
918,ENST00000541505,Q8IY34,0.6983
919,ENST00000505113,A9YTQ3,0.6983
920,ENST00000375979,Q5R5C5,0.6984
921,ENST00000260323,Q8NB66,0.6985
922,ENST00000545554,Q8NB66,0.6985
923,ENST00000412371,Q95LV7,0.6985
924,ENST00000367174,Q8IVF5,0.6985
925,ENST00000533353,Q9P2F6,0.6986
926,ENST00000553488,O35815,0.6987
927,ENST00000319822,Q5R7X2,0.6987
928,ENST00000369281,Q9BXT4,0.6987
929,ENST00000310638,Q02928,0.6987
930,ENST00000380302,A1A5C7,0.6987
931,ENST00000472090,Q5T2Q4,0.6988
932,ENST00000535623,Q5RDD8,0.6988
933,ENST00000551134,Q96LP6,0.6988
934,ENST00000378501,Q15147,0.6989
935,ENST00000309041,O15078,0.6989
936,ENST00000343542,Q5R5V8,0.699
937,ENST00000393862,Q9BQ50,0.6991
938,ENST00000355394,Q8IZP0,0.6993
939,ENST00000350792,A5A6K6,0.6993
940,ENST00000557353,A5A6K6,0.6993
941,ENST00000551563,G3V211,0.6993
942,ENST00000342343,E9Q4S1,0.6994
943,ENST00000300108,Q9UHF0,0.6994
944,ENST00000423662,Q9NQV6,0.6995
945,ENST00000409474,Q96JB8,0.6995
946,ENST00000480001,P10826,0.6995
947,ENST00000376142,Q8IZP0,0.6996
948,ENST00000373213,Q6ZMV9,0.6996
949,ENST00000155093,Q6B4Z5,0.6996
950,ENST00000545074,A5A6L0,0.6996
951,ENST00000283141,Q5T4T6,0.6998
952,ENST00000263202,Q9ES53,0.6999
953,ENST00000393862,Q9BQ50,0.7
954,ENST00000589474,Q8TDF6,0.7
955,ENST00000542664,Q5R4Q6,0.7001
956,ENST00000354449,O95352,0.7001
957,ENST00000379556,Q1MX18,0.7001
958,ENST00000338372,Q6UX27,0.7001
959,ENST00000330014,Q63622,0.7001
960,ENST00000437442,Q9Z0R4,0.7001
961,ENST00000349511,Q99MI7,0.7002
962,ENST00000485893,Q8TDX5,0.7003
963,ENST00000375030,Q9H943,0.7003
964,ENST00000569228,Q1X8D7,0.7003
965,ENST00000531164,Q9H892,0.7004
966,ENST00000397203,Q8IUD2,0.7004
967,ENST00000378353,Q5R447,0.7004
968,ENST00000337414,O43182,0.7004
969,ENST00000452025,Q96AT9,0.7006
970,ENST00000522874,Q9UQ07,0.7006
971,ENST00000458432,P13789,0.7006
972,ENST00000367322,P13789,0.7007
973,ENST00000421415,Q6IPT4,0.7008
974,ENST00000320442,Q8NG04,0.7008
975,ENST00000425836,Q9MYV3,0.7009
976,ENST00000343844,Q04609,0.7009
977,ENST00000546231,Q8IUD2,0.701
978,ENST00000445513,Q86TI4,0.701
979,ENST00000361831,Q3T8J9,0.701
980,ENST00000417097,Q9QYW3,0.701
981,ENST00000320356,Q61188,0.701
982,ENST00000544306,Q8N2B8,0.701
983,ENST00000505330,Q5R5K5,0.7011
984,ENST00000523609,O77503,0.7012
985,ENST00000361962,Q62915,0.7013
986,ENST00000530161,Q1MX18,0.7013
987,ENST00000557821,Q00722,0.7013
988,ENST00000592272,Q9HCE0,0.7013
989,ENST00000454523,Q9H869,0.7013
990,ENST00000542732,Q5RAP1,0.7014
991,ENST00000309862,Q96FM1,0.7014
992,ENST00000424141,Q9UI32,0.7014
993,ENST00000564309,Q5RA78,0.7015
994,ENST00000450533,P53804,0.7015
995,ENST00000495415,Q96T76,0.7015
996,ENST00000463318,Q86VL8,0.7015
997,ENST00000389297,A5D8W1,0.7016
998,ENST00000602047,Q4G0U5,0.7016
999,ENST00000497805,O76083,0.7016
1000,ENST00000356752,Q9Z2L9,0.7017
1001,ENST00000585472,Q5SV85,0.7017
1002,ENST00000351017,O35889,0.7018
1003,ENST00000459839,Q9H857,0.7018
1004,ENST00000378278,Q5R6Z9,0.7019
1005,ENST00000378278,Q5R6Z9,0.7019
1006,ENST00000399212,Q9NVD3,0.702
1007,ENST00000417625,Q9HB55,0.7021
1008,ENST00000581621,P29562,0.7022
1009,ENST00000547095,Q80TL7,0.7022
1010,ENST00000317713,Q9UPN3,0.7022
1011,ENST00000590465,P82251,0.7022
1012,ENST00000533688,Q86UT5,0.7022
1013,ENST00000300398,Q5TIA1,0.7023
1014,ENST00000367983,A2T7D9,0.7023
1015,ENST00000430730,P08236,0.7023
1016,ENST00000355394,Q9QZM5,0.7024
1017,ENST00000395433,Q96QU1,0.7024
1018,ENST00000414778,Q96QU1,0.7024
1019,ENST00000359282,Q61990,0.7025
1020,ENST00000357060,Q8NDM7,0.7025
1021,ENST00000529084,Q96J65,0.7026
1022,ENST00000400107,Q5TIA1,0.7027
1023,ENST00000367615,Q9NP85,0.7027
1024,ENST00000395430,Q96QU1,0.7027
1025,ENST00000361849,Q96QU1,0.7028
1026,ENST00000375938,Q3SXZ7,0.7028
1027,ENST00000373965,Q96QU1,0.7028
1028,ENST00000393058,Q8IUR7,0.7028
1029,ENST00000481362,Q9HB55,0.7029
1030,ENST00000466475,Q99102,0.7029
1031,ENST00000433597,Q8N0W5,0.703
1032,ENST00000578006,P58872,0.703
1033,ENST00000590465,P82251,0.703
1034,ENST00000572543,Q80Y50,0.7031
1035,ENST00000476226,P48728,0.7031
1036,ENST00000465907,Q5ZKW9,0.7031
1037,ENST00000243810,Q9H930,0.7032
1038,ENST00000497805,O76083,0.7032
1039,ENST00000487350,B2RZC9,0.7032
1040,ENST00000378258,Q5R6Z9,0.7033
1041,ENST00000417097,Q5F495,0.7033
1042,ENST00000406859,P58400,0.7033
1043,ENST00000437082,Q93075,0.7034
1044,ENST00000310638,Q02928,0.7034
1045,ENST00000540497,Q9ULU4,0.7034
1046,ENST00000372211,Q4R4K2,0.7034
1047,ENST00000298687,Q5RBN6,0.7035
1048,ENST00000355233,Q64487,0.7035
1049,ENST00000377766,O14717,0.7035
1050,ENST00000596771,Q8N6L0,0.7035
1051,ENST00000378615,Q5RC14,0.7035
1052,ENST00000422815,Q9BZP6,0.7036
1053,ENST00000261475,Q6AXZ3,0.7036
1054,ENST00000367172,O94856,0.7037
1055,ENST00000397851,Q5RBN6,0.7037
1056,ENST00000423870,Q5TEA6,0.7039
1057,ENST00000477086,Q99102,0.7039
1058,ENST00000520309,Q7Z5J8,0.7039
1059,ENST00000546225,Q86VS3,0.7039
1060,ENST00000321935,Q6DN72,0.704
1061,ENST00000369708,Q9H4Y5,0.704
1062,ENST00000584901,A5A6N4,0.704
1063,ENST00000487861,O15315,0.704
1064,ENST00000397956,O43822,0.704
1065,ENST00000373956,Q96QU1,0.7041
1066,ENST00000555958,O35815,0.7041
1067,ENST00000381360,P55259,0.7041
1068,ENST00000380405,Q5R606,0.7041
1069,ENST00000329433,O35737,0.7043
1070,ENST00000541785,Q13651,0.7044
1071,ENST00000392393,Q9NY84,0.7044
1072,ENST00000370425,A2PYH4,0.7045
1073,ENST00000444935,O75312,0.7046
1074,ENST00000397770,O94810,0.7046
1075,ENST00000396164,Q8N2B8,0.7046
1076,ENST00000334652,Q5T9S5,0.7048
1077,ENST00000495161,Q5T0N1,0.7048
1078,ENST00000435071,Q13228,0.7048
1079,ENST00000380343,Q8WW43,0.7048
1080,ENST00000451402,Q64620,0.7049
1081,ENST00000396923,Q6PFW1,0.7049
1082,ENST00000467087,P83093,0.7049
1083,ENST00000590409,P59045,0.705
1084,ENST00000578495,P29562,0.705
1085,ENST00000383740,Q6ZNJ1,0.705
1086,ENST00000538556,P62944,0.705
1087,ENST00000545100,A5D8V7,0.7051
1088,ENST00000561470,A5A6K3,0.7051
1089,ENST00000415413,Q9HB55,0.7052
1090,ENST00000328236,Q8N960,0.7052
1091,ENST00000448023,Q7RTR2,0.7052
1092,ENST00000342992,Q8WZ42,0.7052
1093,ENST00000369781,O15374,0.7053
1094,ENST00000378186,Q5J8X5,0.7053
1095,ENST00000395412,Q9Y6M4,0.7053
1096,ENST00000341524,P62483,0.7054
1097,ENST00000379807,Q86UG4,0.7055
1098,ENST00000341594,Q8NF91,0.7055
1099,ENST00000371247,Q9BX66,0.7056
1100,ENST00000406316,P58400,0.7056
1101,ENST00000369683,Q6P1B1,0.7057
1102,ENST00000399379,P48728,0.7057
1103,ENST00000371247,Q9BX66,0.7057
1104,ENST00000378781,Q9H714,0.7057
1105,ENST00000362010,Q14D04,0.7058
1106,ENST00000443356,Q02509,0.7058
1107,ENST00000374505,Q9WTL7,0.7058
1108,ENST00000538309,P30038,0.7058
1109,ENST00000565296,Q4R809,0.7058
1110,ENST00000352409,Q7Z407,0.7058
1111,ENST00000490504,P05166,0.7058
1112,ENST00000539981,Q99JD4,0.7058
1113,ENST00000397587,Q99JD4,0.7058
1114,ENST00000375844,Q56UN5,0.7059
1115,ENST00000371473,Q6X4W1,0.7059
1116,ENST00000454665,Q9NQE7,0.7059
1117,ENST00000336119,Q96P20,0.7059
1118,ENST00000416984,Q4R5Z4,0.7059
1119,ENST00000542737,Q6IPT4,0.706
1120,ENST00000360482,Q6ZMY3,0.706
1121,ENST00000585343,O75771,0.706
1122,ENST00000458521,Q9UHF0,0.706
1123,ENST00000461961,Q9NPH6,0.706
1124,ENST00000336916,P02751,0.7061
1125,ENST00000391828,Q96P20,0.7061
1126,ENST00000368586,Q8IYW2,0.7061
1127,ENST00000432073,Q8K3P6,0.7061
1128,ENST00000378784,Q9H714,0.7062
1129,ENST00000367154,Q68G75,0.7062
1130,ENST00000391936,Q68G75,0.7062
1131,ENST00000446046,P02751,0.7063
1132,ENST00000258729,Q9CPN8,0.7063
1133,ENST00000592545,Q08DS7,0.7063
1134,ENST00000545579,Q9H3S3,0.7063
1135,ENST00000568579,Q8WWX8,0.7064
1136,ENST00000393482,Q9BZW7,0.7064
1137,ENST00000507556,Q8TBB0,0.7064
1138,ENST00000379558,Q6ZUX3,0.7064
1139,ENST00000453551,Q2HJG2,0.7065
1140,ENST00000269081,Q8WWZ4,0.7065
1141,ENST00000369950,Q17R60,0.7065
1142,ENST00000592077,Q6ZW76,0.7065
1143,ENST00000445537,Q16827,0.7066
1144,ENST00000556712,Q5R613,0.7066
1145,ENST00000257880,Q13683,0.7066
1146,ENST00000397770,O94810,0.7067
1147,ENST00000480006,Q9H7U1,0.7067
1148,ENST00000367300,Q8NEY1,0.7067
1149,ENST00000488673,Q6PF06,0.7068
1150,ENST00000559596,Q9BXS6,0.7068
1151,ENST00000513938,P0C7A2,0.7069
1152,ENST00000438402,Q7Z5J8,0.7069
1153,ENST00000376444,Q4V328,0.7069
1154,ENST00000449926,Q6P5H6,0.7069
1155,ENST00000302783,A6NLP5,0.7069
1156,ENST00000568195,Q02161,0.707
1157,ENST00000398986,Q96PG1,0.707
1158,ENST00000350710,Q7L513,0.707
1159,ENST00000465814,Q96P48,0.7071
1160,ENST00000367536,P19878,0.7071
1161,ENST00000307340,O75445,0.7071
1162,ENST00000462405,A2PYH4,0.7071
1163,ENST00000559881,Q28480,0.7072
1164,ENST00000533824,Q2M3M2,0.7073
1165,ENST00000591288,Q9UMZ2,0.7073
1166,ENST00000250066,P35125,0.7073
1167,ENST00000290317,Q8WWT9,0.7074
1168,ENST00000361849,Q96QU1,0.7074
1169,ENST00000349350,Q9Y493,0.7074
1170,ENST00000282488,Q9JKP5,0.7074
1171,ENST00000301624,Q9HCJ0,0.7074
1172,ENST00000448733,Q95212,0.7074
1173,ENST00000287845,Q05199,0.7075
1174,ENST00000540236,P41778,0.7075
1175,ENST00000361710,O95236,0.7075
1176,ENST00000310450,Q7ZXR3,0.7077
1177,ENST00000463937,Q03154,0.7078
1178,ENST00000369282,Q9BXT4,0.7078
1179,ENST00000357472,Q9JKP5,0.7078
1180,ENST00000414043,O94983,0.7079
1181,ENST00000581756,Q9P299,0.7079
1182,ENST00000531764,Q8IZJ6,0.7079
1183,ENST00000262365,P0C5J1,0.7079
1184,ENST00000522263,Q69YN4,0.708
1185,ENST00000421817,Q49MI3,0.708
1186,ENST00000380123,Q6P1Q0,0.7081
1187,ENST00000341278,Q9UGM3,0.7081
1188,ENST00000341278,Q9UGM3,0.7081
1189,ENST00000411502,Q86WA9,0.7081
1190,ENST00000491855,Q13231,0.7082
1191,ENST00000448038,Q8NF91,0.7082
1192,ENST00000383233,Q24JQ0,0.7082
1193,ENST00000399326,Q9Z0R4,0.7082
1194,ENST00000374394,Q9NVA1,0.7083
1195,ENST00000444918,A8MX76,0.7083
1196,ENST00000487958,P84092,0.7083
1197,ENST00000517875,Q9C099,0.7084
1198,ENST00000413002,P10881,0.7084
1199,ENST00000536743,Q8N2B8,0.7084
1200,ENST00000377194,Q62158,0.7084
1201,ENST00000416870,Q28623,0.7084
1202,ENST00000265663,Q6X4W1,0.7085
1203,ENST00000425816,Q2M3M2,0.7085
1204,ENST00000592574,Q9JHD2,0.7086
1205,ENST00000155093,P08048,0.7087
1206,ENST00000360948,Q5IFJ9,0.7087
1207,ENST00000433859,B2RC85,0.7087
1208,ENST00000412021,Q5RAG8,0.7087
1209,ENST00000425431,P26436,0.7087
1210,ENST00000394120,O75923,0.7088
1211,ENST00000318588,O70589,0.7089
1212,ENST00000389863,P78563,0.7089
1213,ENST00000426377,P20711,0.7089
1214,ENST00000542961,A5PLK6,0.7089
1215,ENST00000356173,Q8TC36,0.709
1216,ENST00000589093,P59045,0.709
1217,ENST00000530887,O42586,0.7091
1218,ENST00000327238,Q96T76,0.7091
1219,ENST00000472688,Q6ZT98,0.7093
1220,ENST00000354587,Q9Z351,0.7095
1221,ENST00000368615,Q9C0I9,0.7095
1222,ENST00000400169,Q5R764,0.7096
1223,ENST00000440238,Q96NN9,0.7096
1224,ENST00000343245,Q3MQ04,0.7097
1225,ENST00000262345,Q99665,0.7098
1226,ENST00000378278,Q5R6Z9,0.7098
1227,ENST00000587884,Q9HCE0,0.7098
1228,ENST00000475591,Q5T124,0.7099
1229,ENST00000586044,O75771,0.7099
1230,ENST00000575314,P04278,0.7099
1231,ENST00000571007,Q8NCW0,0.7101
1232,ENST00000377847,Q02650,0.7102
1233,ENST00000313049,Q03431,0.7102
1234,ENST00000288490,O75912,0.7102
1235,ENST00000523539,P34152,0.7102
1236,ENST00000576830,P04278,0.7102
1237,ENST00000391905,Q5VTY9,0.7103
1238,ENST00000369598,Q9UMS5,0.7103
1239,ENST00000393357,Q9UMS5,0.7103
1240,ENST00000414778,Q96QU1,0.7103
1241,ENST00000373281,Q8N2E6,0.7104
1242,ENST00000390003,Q14766,0.7104
1243,ENST00000564324,Q86VI1,0.7104
1244,ENST00000329620,Q6ICG8,0.7104
1245,ENST00000413513,Q9GLN7,0.7105
1246,ENST00000503890,Q7Z745,0.7105
1247,ENST00000557826,Q5R678,0.7105
1248,ENST00000343619,Q5R422,0.7105
1249,ENST00000414508,P24557,0.7105
1250,ENST00000449635,Q5R737,0.7107
1251,ENST00000287202,Q96J87,0.7107
1252,ENST00000263710,Q80TV8,0.7107
1253,ENST00000433441,Q6NVV9,0.7107
1254,ENST00000349607,Q99102,0.7107
1255,ENST00000369683,Q9NQW7,0.7108
1256,ENST00000568195,Q02161,0.7109
1257,ENST00000400105,Q8NA19,0.7109
1258,ENST00000379681,Q9QUQ5,0.7109
1259,ENST00000375934,Q3SZH6,0.7109
1260,ENST00000358779,Q9UQ88,0.7109
1261,ENST00000395438,Q96QU1,0.7109
1262,ENST00000451613,Q4L235,0.711
1263,ENST00000360221,Q9BTE6,0.711
1264,ENST00000369683,Q9NQW7,0.711
1265,ENST00000359763,O14829,0.7111
1266,ENST00000507039,Q18PE1,0.7111
1267,ENST00000454876,P31641,0.7111
1268,ENST00000329956,Q1X8D7,0.7112
1269,ENST00000532053,O95498,0.7113
1270,ENST00000361962,Q62915,0.7113
1271,ENST00000262547,Q9NVP4,0.7113
1272,ENST00000350302,Q4R372,0.7114
1273,ENST00000415529,P79222,0.7114
1274,ENST00000416254,Q5R5F2,0.7115
1275,ENST00000426398,Q66H20,0.7115
1276,ENST00000398761,Q4R518,0.7115
1277,ENST00000451445,Q9UJ83,0.7116
1278,ENST00000439951,Q9H1P3,0.7116
1279,ENST00000557274,A5A6K6,0.7116
1280,ENST00000527170,O75398,0.7116
1281,ENST00000340309,Q90879,0.7117
1282,ENST00000434513,Q5R5M3,0.7117
1283,ENST00000518608,Q330K2,0.7117
1284,ENST00000383820,Q6P087,0.7118
1285,ENST00000354212,Q86UL8,0.7118
1286,ENST00000371677,Q90879,0.7118
